City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
309,lubuklinggau,-3.3,102.8667,296.08,94,100,1.17,ID,1706982232
310,pudozh,61.8099,36.5345,265.9,94,100,2.24,RU,1706982233
311,happy valley-goose bay,53.3168,-60.3315,257.32,55,20,1.54,CA,1706982233
312,ilebo,-4.3167,20.5833,299.03,68,86,1.04,CD,1706982233
313,lamarque,-39.423,-65.7021,302.58,13,20,6.4,AR,1706982075
314,magole,-6.3667,37.3667,296.21,97,100,0.82,TZ,1706982233
315,bure,10.7,37.0667,289.62,60,48,1.93,ET,1706982233
316,hithadhoo,-0.6,73.0833,301.55,77,100,3.29,MV,1706982233
317,hauterive,46.0901,3.4459,278.57,93,46,1.11,FR,1706982234
318,tadine,-21.55,167.8833,299.59,88,100,8.42,NC,1706982234
319,keflavik,64.0049,-22.5624,271.1,100,100,10.29,IS,1706982146
320,khandyga,62.6667,135.6,230.24,100,70,1.01,RU,1706982073
321,gadzhiyevo,69.2551,33.3362,269.6,74,96,13.9,RU,1706982234
322,at taraf,25.3628,49.725,287.45,41,0,3.92,SA,1706982234
323,batticaloa,7.7102,81.6924,299.1,80,69,2.5,LK,1706982027
324,haiku-pauwela,20.9219,-156.3051,293.73,69,75,10.29,US,1706982234
325,zaragoza,41.6561,-0.8773,288.71,73,0,1.03,ES,1706982226
326,edd,13.9297,41.6925,297.85,68,79,5.75,ER,1706982234
327,isangel,-19.55,169.2667,299.71,89,100,3.55,VU,1706982043
328,mata-utu,-13.2816,-176.1745,300.55,87,100,8.9,WF,1706982235
329,rio grande,-32.035,-52.0986,306.21,55,5,4.35,BR,1706982193
330,tucupita,9.0622,-62.051,309.77,27,37,2.62,VE,1706982235
331,alofi,-19.0595,-169.9187,298.09,100,100,1.54,NU,1706982235
332,kristiansund,63.1115,7.732,276.18,75,75,20.58,NO,1706982028
333,poltar,48.4309,19.7941,278.95,90,92,2.9,SK,1706982235
334,bushehr,28.9684,50.8385,289.2,48,0,7.2,IR,1706982235
335,thunder bay,48.4001,-89.3168,269.14,86,40,1.03,CA,1706982001
336,andratx,39.5755,2.4202,287.31,67,18,2.8,ES,1706982235
337,revda,56.801,59.9303,262.85,95,100,3.68,RU,1706982235
338,qandala,11.472,49.8728,298.73,67,20,2.15,SO,1706982236
339,hinatuan,8.3722,126.3342,297.89,91,47,2.92,PH,1706982236
340,balangiga,11.1097,125.3875,298.42,84,46,4.23,PH,1706982236
341,tromso,69.6496,18.957,270.16,100,100,1.03,NO,1706982236
342,bull savanna,17.8868,-77.5902,299.09,56,18,3.89,JM,1706982236
343,puerto deseado,-47.7503,-65.8938,286.81,48,22,10.51,AR,1706982085
344,nagqu,31.5,92.0,258.96,29,57,2.13,CN,1706982075
345,pundong,-7.9522,110.3486,298.44,89,98,2.34,ID,1706982236
346,zaysan,47.4667,84.8667,259.2,97,100,1.36,KZ,1706982236
347,mili,6.0815,171.735,300.74,79,73,10.18,MH,1706982237
348,diamantino,-14.4086,-56.4461,299.22,75,100,4.03,BR,1706982237
349,bonthe,7.5264,-12.505,302.32,61,0,5.62,SL,1706982047
350,south sioux city,42.4739,-96.4136,275.3,100,100,6.69,US,1706982237
351,mayya,61.7333,130.2811,237.77,100,100,0.4,RU,1706982237
352,egilsstadir,65.2653,-14.3948,271.1,37,0,4.12,IS,1706982237
353,sicuani,-14.2694,-71.2261,289.54,47,75,1.11,PE,1706982237
354,tartagal,-22.5164,-63.8013,315.73,12,1,1.7,AR,1706982237
355,zyrya,40.3661,50.2917,279.2,77,85,6.96,AZ,1706982237
356,banda aceh,5.5577,95.3222,299.03,82,76,2.54,ID,1706982237
357,tazacorte,28.629,-17.9293,294.9,66,20,1.03,ES,1706982238
358,komatsu,36.4026,136.4509,276.14,70,75,3.09,JP,1706982238
359,menongue,-14.6585,17.691,294.1,81,98,1.45,AO,1706982238
360,kone,-21.0595,164.8658,298.99,91,98,2.53,NC,1706982238
361,yamada,39.4667,141.95,271.8,63,86,1.12,JP,1706982018
362,saint-philippe,-21.3585,55.7679,297.92,87,94,3.77,RE,1706982238
